标志,ID,人物,位置,内容,跳转
#,0,郭老师,左,你好啊，欢迎来到创梦学堂，为了增强大学生创新创业意识和精神，鼓励和支持大学生开展创新创业实践活动，培养学生的创新精神和创业意识，提高创业能力和素质。,1
#,1,小灵,右,我能在这里学到什么呢,2
#,2,郭老师,左,我们可以帮助解决大学生创业教育各类问题，提供赛事咨询、项目辅导、在线学习等功能,3
#,3,小灵,右,那什么是大学生自主创业,4
#,4,郭老师,左,"学生自主创业就是大学生通过个人及组织的努力利用所学到的知识、才能、技术和所形成的各种能力以自筹资金、技术入股、寻求合作等方式在有限环境中努力创新、寻求机会不断成长创造价值的过程。",5
#,5,小灵,右,那自主创业对个人有哪些价值,6
#,6,郭老师,左,可以把兴趣与事业紧密结合在一起，实现自我的人生价值，还有利于培养自力更生的意识、风险意识、拼搏精神和艰苦奋斗的作风。,7
@,7,小灵,右,感谢你的介绍，我自己先逛逛,10
@,8,小灵,右,继续介绍该场景,11
@,9,小灵,右,帮助我增长创业知识,12
#,10,郭老师,左,好的，期待下次你的到来,11
END,11,郭老师,左,下面我来带您继续游览创梦学堂,
END,12,郭老师,左,请关注小程序创梦剧场，里面有海量创业内容供你学习,
